Country,Population,GDP,2023_Complaints,2023_Losses
Austria,8877067.0,446314739528.0,9614,163158856
Belgium,11484055.0,529606710418.0,11848,184239517
Bulgaria,6975761.0,86000000000.0,26404,443783119
Croatia,4067500.0,60415553039.0,2280,28853906
Cyprus,1198575.0,24564647935.0,2345,19199921
Czech Republic,10669709.0,246489245495.0,60855,600351173
Denmark,5818553.0,348078018464.0,10211,117811560
Estonia,1331824.0,31386949981.0,18399,210872015
Finland,5520314.0,268761201365.0,26918,712562892
France,67059887.0,2715518274227.0,297363,3212220994
Germany,83132799.0,3845630030824.0,178259,5575128098
Greece,10716322.0,209852761469.0,10849,134866182
Hungary,9769949.0,160967157504.0,4484,309048399
Italy,60297396.0,2001244392042.0,84197,1192949271
Latvia,1912789.0,34117202555.0,7348,95600192
Lithuania,2786844.0,54219315600.0,8433,315202293
Luxembourg,645397.0,71104919108.0,951,41315061
Malta,502653.0,14786156563.0,1821,56426606
Netherlands,17332850.0,909070395161.0,83301,3079554598
Poland,37970874.0,592164400688.0,49459,1040011485
Portugal,10269417.0,237686075635.0,2178,28700418
Romania,19356544.0,250077444017.0,31255,552881444
Slovakia,5454073.0,105422304976.0,3544,69951666
Slovenia,2087946.0,53742159517.0,658,22218114
Spain,47076781.0,1394116310769.0,69263,1266113273
Sweden,10285453.0,530832908738.0,81499,876268421
