,Country Code,Country,2019_Complaints,2019_Losses,2020_Complaints,2020_Losses,2021_Complaints,2021_Losses,2022_Complaints,2022_Losses,2023_Complaints,2023_Losses,2024_Complaints,2024_Losses,2025_Losses,2025_Complaints
0,AT,Austria,0,0,0,0,0,0,0,0,0,0,0,0,90691320.73332977,4127.466666666674
1,BE,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,195136251.13333893,14424.666666666744
2,BG,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,324313487.8666687,13956.59999999986
3,CY,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,607926598.3333435,28107.133333333302
4,CZ,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,24572189.599999428,2336.1333333333605
5,DE,Germany,0,0,0,0,0,0,0,0,0,0,0,0,839025428.6666565,69911.06666666642
6,DK,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,6343585956.800049,194659.86666666716
7,EE,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,158448625.59999847,10756.399999999907
8,ES,Spain,0,0,0,0,0,0,0,0,0,0,0,0,281250030.73332214,21438.133333333302
9,FI,Finland,0,0,0,0,0,0,0,0,0,0,0,0,1564979485.4000244,94794.53333333321
10,FR,France,0,0,0,0,0,0,0,0,0,0,0,0,892362348.7333374,31001.39999999944
11,GR,Greece,0,0,0,0,0,0,0,0,0,0,0,0,4678887474.733154,258890.19999999925
12,HR,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,185109333.0,10619.266666666721
13,HU,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,39992852.133333206,3045.7333333333954
14,IE,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,356260993.53334045,6484.199999999953
15,IT,Italy,0,0,0,0,0,0,0,0,0,0,0,0,1485094502.5333252,34307.93333333358
16,LT,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,1599628467.3999634,102435.53333333507
17,LU,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,346164380.7999878,10951.799999999814
18,LV,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,53908725.66666603,1121.3333333333285
19,MT,Malta,0,0,0,0,0,0,0,0,0,0,0,0,149857551.53333282,8277.333333333372
20,NL,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,75402029.06666565,1827.9333333333198
21,PL,Poland,0,0,0,0,0,0,0,0,0,0,0,0,4027589321.533203,103828.20000000112
22,PT,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,1574738908.1333618,52664.33333333302
23,RO,Romania,0,0,0,0,0,0,0,0,0,0,0,0,43355727.0,2498.333333333314
24,SE,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,666533751.8000183,37464.0
25,SI,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,1390068921.9332886,100690.1333333347
26,SK,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,42025881.06666756,712.2666666666773
