Country Code,Country,Country ID,Year,Losses_Billions,Complaints_Millions,Type
PT,Portugal,123,2019,0.013870074,0.001119,Actual
PT,Portugal,123,2020,0.01239129,0.00202,Actual
PT,Portugal,123,2021,0.018205913,0.002102,Actual
PT,Portugal,123,2022,0.030859319,0.001918,Actual
PT,Portugal,123,2023,0.028700418,0.002178,Actual
PT,Portugal,123,2024,0.040192274,0.002209,Actual
PT,Portugal,123,2025,0.043355727,0.002498333333333314,Predicted
AT,Austria,101,2019,0.047306368,0.006942,Actual
AT,Austria,101,2020,0.041464758,0.010963,Actual
AT,Austria,101,2021,0.116199865,0.015412,Actual
AT,Austria,101,2022,0.133170619,0.011239,Actual
AT,Austria,101,2023,0.163158856,0.009614,Actual
AT,Austria,101,2024,0.145551079,0.014534,Actual
AT,Austria,101,2025,0.19513625113333893,0.014424666666666744,Predicted
RO,Romania,124,2019,0.121565659,0.017366,Actual
RO,Romania,124,2020,0.152115092,0.025108,Actual
RO,Romania,124,2021,0.301879874,0.031549,Actual
RO,Romania,124,2022,0.349041126,0.028823,Actual
RO,Romania,124,2023,0.552881444,0.031255,Actual
RO,Romania,124,2024,0.534185027,0.033338,Actual
RO,Romania,124,2025,0.6665337518000183,0.037464,Predicted
BE,Belgium,102,2019,0.061314011,0.006275,Actual
BE,Belgium,102,2020,0.081868291,0.01062,Actual
BE,Belgium,102,2021,0.142566044,0.011842,Actual
BE,Belgium,102,2022,0.217821448,0.010859,Actual
BE,Belgium,102,2023,0.184239517,0.011848,Actual
BE,Belgium,102,2024,0.30314805,0.012375,Actual
BE,Belgium,102,2025,0.3243134878666687,0.01395659999999986,Predicted
BG,Bulgaria,103,2019,0.118129647,0.014189,Actual
BG,Bulgaria,103,2020,0.111207806,0.026712,Actual
BG,Bulgaria,103,2021,0.248788813,0.024968,Actual
BG,Bulgaria,103,2022,0.338814414,0.023525,Actual
BG,Bulgaria,103,2023,0.443783119,0.026404,Actual
BG,Bulgaria,103,2024,0.522143452,0.024208,Actual
BG,Bulgaria,103,2025,0.6079265983333435,0.0281071333333333,Predicted
SE,Sweden,125,2019,0.288695571,0.043233,Actual
SE,Sweden,125,2020,0.330876641,0.06169,Actual
SE,Sweden,125,2021,0.615839471,0.078842,Actual
SE,Sweden,125,2022,0.882362917,0.085983,Actual
SE,Sweden,125,2023,0.876268421,0.081499,Actual
SE,Sweden,125,2024,1.267709488,0.085663,Actual
SE,Sweden,125,2025,1.3900689219332887,0.1006901333333347,Predicted
SI,Slovenia,126,2019,0.007257183,0.000358,Actual
SI,Slovenia,126,2020,0.009239424,0.000472,Actual
SI,Slovenia,126,2021,0.014206301,0.000654,Actual
SI,Slovenia,126,2022,0.02229408,0.000657,Actual
SI,Slovenia,126,2023,0.022218114,0.000658,Actual
SI,Slovenia,126,2024,0.042624356,0.000553,Actual
SI,Slovenia,126,2025,0.042025881066667554,0.0007122666666666773,Predicted
SK,Slovakia,127,2019,0.018206898,0.001962,Actual
SK,Slovakia,127,2020,0.022972759,0.003761,Actual
SK,Slovakia,127,2021,0.023441713,0.004336,Actual
SK,Slovakia,127,2022,0.045874291,0.0031,Actual
SK,Slovakia,127,2023,0.069951666,0.003544,Actual
SK,Slovakia,127,2024,0.080074928,0.00377,Actual
SK,Slovakia,127,2025,0.09069132073332978,0.004127466666666675,Predicted
CY,Cyprus,104,2019,0.005686522,0.000999,Actual
CY,Cyprus,104,2020,0.006853488,0.001706,Actual
CY,Cyprus,104,2021,0.012133741,0.001762,Actual
CY,Cyprus,104,2022,0.017339298,0.001723,Actual
CY,Cyprus,104,2023,0.019199921,0.002345,Actual
CY,Cyprus,104,2024,0.019483205,0.001838,Actual
CY,Cyprus,104,2025,0.024572189599999426,0.0023361333333333607,Predicted
CZ,Czech Republic,105,2019,0.1729912,0.030211,Actual
CZ,Czech Republic,105,2020,0.212529097,0.047442,Actual
CZ,Czech Republic,105,2021,0.431356435,0.068328,Actual
CZ,Czech Republic,105,2022,0.514944367,0.049178,Actual
CZ,Czech Republic,105,2023,0.600351173,0.060855,Actual
CZ,Czech Republic,105,2024,0.718180351,0.060358,Actual
CZ,Czech Republic,105,2025,0.8390254286666565,0.06991106666666642,Predicted
DE,Germany,106,2019,1.559415577,0.095136,Actual
DE,Germany,106,2020,2.432407746,0.148495,Actual
DE,Germany,106,2021,2.226372097,0.164061,Actual
DE,Germany,106,2022,3.442137764,0.203346,Actual
DE,Germany,106,2023,5.575128098,0.178259,Actual
DE,Germany,106,2024,5.279486289,0.146731,Actual
DE,Germany,106,2025,6.343585956800049,0.19465986666666715,Predicted
DK,Denmark,107,2019,0.038097127,0.00567,Actual
DK,Denmark,107,2020,0.037191643,0.009143,Actual
DK,Denmark,107,2021,0.078734767,0.010529,Actual
DK,Denmark,107,2022,0.119930937,0.009954,Actual
DK,Denmark,107,2023,0.11781156,0.010211,Actual
DK,Denmark,107,2024,0.125845887,0.008616,Actual
DK,Denmark,107,2025,0.15844862559999848,0.010756399999999907,Predicted
EE,Estonia,108,2019,0.063377416,0.009712,Actual
EE,Estonia,108,2020,0.081946736,0.016004,Actual
EE,Estonia,108,2021,0.102711672,0.012971,Actual
EE,Estonia,108,2022,0.169799799,0.014979,Actual
