Start date,Incident type,Receiver country,Category,Initiator country,Political responses,MITRE Impact,Intelligence impact,International Law Breach Indicator,Year
2015-01-01,Data theft,China,Other,China,0,Data Exfiltration,5,Human rights,2015
2015-01-01,Data theft,United Kingdom,Government,Russia,1,Data Exfiltration,2,Cyber espionage,2015
2015-01-01,Data theft,China,Other,China,0,Data Exfiltration,2,Cyber espionage,2015
2016-01-01,Data theft,Ukraine,Other,Ukraine,0,Data Exfiltration,2,Human rights,2016
2017-01-01,Data theft,Netherlands,Critical Manufacturing,China,0,Data Exfiltration,3,Due diligence,2017
2017-01-01,Hijacking,Georgia,Government and Research,Russia,0,Data Exfiltration,1,Sovereignty,2017
2017-01-01,Data theft,Spain,Government and Research,Spain,3,Data Exfiltration,2,Cyber espionage,2017
2018-01-01,Data theft,China,Administration,China,0,Data Exfiltration,2,Cyber espionage,2018
2018-01-01,Data theft,United States,Military,China,0,Data Exfiltration,3,Cyber espionage,2018
2018-01-01,Hijacking,United States,Government and Research,Unknown,1,Data Manipulation,1,Human rights,2018
2018-01-01,Data theft,China,Government and Research,China,0,Data Exfiltration,2,Sovereignty,2018
2019-01-01,Data theft,Kenya,Government and Research,China,0,Data Exfiltration,3,Sovereignty,2019
2019-01-01,Data theft,Jordan,Government,Unknown,0,Data Exfiltration,3,Human rights,2019
2020-01-01,Data theft,Europe region,Government and Research,Russia,0,Data Exfiltration,2,Cyber espionage,2020
2020-01-01,Data theft,Tajikistan,Critical Manufacturing,Russia,0,Data Exfiltration,2,Cyber espionage,2020
2020-01-01,Data theft,Japan,Government and Research,China,1,Data Exfiltration,3,Cyber espionage,2020
2020-01-01,Data theft,China,Government,China,0,Data Exfiltration,1,Human rights,2020
2020-01-01,Data theft,Japan,Finance,China,2,Data Exfiltration,3,Cyber espionage,2020
2021-01-01,Data theft,Iran,Government and Research,South Asia region,0,Data Exfiltration,2,Due diligence,2021
2021-01-01,Data theft,United States,Government and Research,China,2,Data Exfiltration,2,Cyber espionage,2021
2021-01-01,Data theft,Afghanistan,Military,China,0,Data Exfiltration,2,Cyber espionage,2021
2021-01-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,3,Human rights,2021
2021-01-01,Data theft,United States,Military,Unknown,0,Data Exfiltration,3,International peace,2021
2021-01-01,Ransomware,Spain,Administration,Unknown,0,Data Exfiltration,2,Human rights,2021
2021-01-01,Data theft,United States,Critical Manufacturing,Iran,0,Data Exfiltration,1,Human rights,2021
2021-01-01,Data theft,Europe region,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Sovereignty,2021
2022-01-01,Data theft,Russia,Finance,Ukraine,0,Data Exfiltration,4,Cyber espionage,2022
2022-01-01,Disruption,Poland,Critical Manufacturing,Poland,1,System Shutdown/Reboot,1,Due diligence,2022
2022-01-01,Data theft,Iran,Critical Manufacturing,Iran,0,Data Exfiltration,5,Cyber espionage,2022
2022-01-01,Data theft,Hungary,Government and Research,China,0,Data Exfiltration,2,Sovereignty,2022
2022-01-01,Data theft,Pakistan,Military,Unknown,0,Data Exfiltration,2,Cyber espionage,2022
2022-01-01,Data theft,Argentina,Government and Research,Unknown,0,Data Exfiltration,5,International criminal law,2022
2022-01-01,Data theft,South Asia region,Government and Research,China,0,Data Exfiltration,2,Cyber espionage,2022
2022-01-01,Data theft,Japan,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2022
2022-01-01,Data theft,Russia,Critical Manufacturing,Ukraine,0,Data Exfiltration,5,Sovereignty,2022
2022-01-01,Data theft,Russia,Critical Manufacturing,Russia,0,Data Exfiltration,4,Sovereignty,2022
2022-01-01,Data theft,United Kingdom,Government and Research,Russia,0,Data Exfiltration,5,International peace,2022
2022-01-01,Data theft,Russia,Finance,Ukraine,0,Data Exfiltration,4,Due diligence,2022
2022-01-01,Data theft,Italy,Government and Research,China,0,Data Exfiltration,3,Cyber espionage,2022
2022-01-01,Data theft,Russia,Critical Manufacturing,Ukraine,0,Data Exfiltration,4,Cyber espionage,2022
2022-01-01,Data theft,United Kingdom,Government and Research,Iran,1,Data Exfiltration,2,Cyber espionage,2022
2022-01-01,Disruption,Canada,Critical Manufacturing,Russia,3,Account Access Removal,1,Due diligence,2022
2022-01-01,Data theft,Afghanistan,Not available,Russia,0,Data Exfiltration,2,Sovereignty,2022
2022-01-01,Data theft,Kenya,Government and Research,China,0,Data Exfiltration,2,Due diligence,2022
2022-01-01,Ransomware,Taiwan,Government and Research,Unknown,0,Data Exfiltration,2,Cyber espionage,2022
2022-01-01,Data theft,Portugal,Finance,Unknown,1,Data Exfiltration,5,Cyber espionage,2022
2022-01-01,Data theft,Israel,Government,Iran,0,Data Exfiltration,2,Cyber espionage,2022
2022-01-01,Data theft,Pakistan,Government and Research,Unknown,0,Data Exfiltration,2,Cyber espionage,2022
2023-01-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,3,Human rights,2023
2023-01-01,Disruption,Cuba,Administration,Cuba,0,Defacement,1,Sovereignty,2023
2023-01-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-01-01,Data theft,Russia,Critical Manufacturing,Ukraine,0,Data Exfiltration,2,Armed conflict,2023
2023-01-01,Ransomware,New Zealand,Administration,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-01-01,Disruption,United States,Critical Manufacturing,Russia,1,Network Denial of Service,1,Human rights,2023
2023-01-01,Data theft,Netherlands,Critical Manufacturing,Turkey,0,Data Exfiltration,3,Cyber espionage,2023
2023-01-01,Data theft,Korea,Administration,Korea,1,Data Exfiltration,3,Human rights,2023
2023-01-01,Data theft,Canada,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-01-01,Data theft,United States,Government and Research,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-01-01,Data theft,Chile,Administration,South America,0,Data Exfiltration,4,Sovereignty,2023
2023-01-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-01-01,Disruption,United Kingdom,Administration,Unknown,0,Data Encrypted for Impact,1,Sovereignty,2023
2023-01-01,Ransomware,United States,Administration,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-01-01,Data theft,Thailand,Government and Research,China,0,Data Exfiltration,5,Human rights,2023
2023-01-01,Data theft,Turkey,Government and Research,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-01-01,Data theft,Russia,Administration,Ukraine,0,Data Exfiltration,3,Armed conflict,2023
2023-01-01,Data theft,Russia,Finance,Ukraine,0,Data Exfiltration,2,Armed conflict,2023
2023-01-01,Data theft,Israel,Not available,Iran,0,Data Exfiltration,4,Armed conflict,2023
2023-01-01,Disruption,Canada,Critical Manufacturing,Unknown,0,Data Encrypted for Impact,1,Human rights,2023
2023-01-01,Data theft,Russia,Military,Ukraine,0,Data Exfiltration,5,Armed conflict,2023
2023-01-01,Disruption,Russia,Critical Manufacturing,Ukraine,0,Network Denial of Service,1,Sovereignty,2023
2023-01-01,Data theft,Russia,Administration,Ukraine,0,Data Exfiltration,5,Air law,2023
2023-01-01,Disruption,Singapore,Critical Manufacturing,Unknown,0,Data Encrypted for Impact,1,Sovereignty,2023
2023-01-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,5,Human rights,2023
2023-01-01,Data theft,India,Government and Research,Russia,0,Data Exfiltration,4,Human rights,2023
2023-01-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-01-01,Data theft,Russia,Finance,Ukraine,0,Data Exfiltration,5,Cyber espionage,2023
2023-01-01,Data theft,Switzerland,Administration,Unknown,0,Data Exfiltration,4,Human rights,2023
2023-01-01,Data theft,Korea,Government and Research,Korea,0,Data Exfiltration,2,Human rights,2023
2023-01-01,Data theft,Tajikistan,Government and Research,Kazakhstan,0,Data Exfiltration,2,Due diligence,2023
2023-01-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,4,Human rights,2023
2023-01-01,Ransomware,Switzerland,Administration,Unknown,0,Data Exfiltration,5,Human rights,2023
2023-01-01,Data theft,Canada,Administration,Unknown,0,Data Exfiltration,2,Human rights,2023
2024-01-01,Data theft,Russia,Military,United States,0,Data Exfiltration,3,Armed conflict,2024
