Country,Predicted_Losses_2025,Predicted_Losses_2025_B,Delta_vs_2024,Delta_vs_2024_B
US,18896538842.616745,18.896538842616746,4439527102.616745,4.439527102616745
CN,15185103205.46718,15.18510320546718,3885978868.4671803,3.88597886846718
RU,12651563242.49789,12.65156324249789,1489780841.4978905,1.4897808414978904
GB,8543513466.146408,8.543513466146408,2164399471.146408,2.164399471146408
DE,5935643084.335385,5.935643084335386,656156795.3353853,0.6561567953353853
UA,5917342265.346794,5.917342265346794,756005350.3467941,0.7560053503467942
SG,5314942556.8910265,5.314942556891027,790406769.8910265,0.7904067698910265
FR,5047299457.220622,5.047299457220622,1021639471.2206221,1.021639471220622
IN,4547693519.956085,4.547693519956085,383290152.9560852,0.3832901529560852
JP,4281082213.8503428,4.281082213850342,887535962.8503428,0.8875359628503428
HK,3927563523.5086985,3.9275635235086983,1064255356.5086985,1.0642553565086985
NL,3768931610.288879,3.768931610288879,448441024.2888789,0.44844102428887894
BR,3616478976.63088,3.61647897663088,1025913542.6308799,1.0259135426308799
ZA,3461839486.1724553,3.4618394861724555,417478595.1724553,0.41747859517245534
CA,2864954225.2658696,2.8649542252658695,322624557.2658696,0.32262455726586964
ID,2627214577.248393,2.627214577248393,194961070.24839306,0.19496107024839307
IR,1980411577.5961344,1.9804115775961344,365748556.5961344,0.3657485565961344
AU,1810188746.52969,1.81018874652969,318220712.52969,0.31822071252969003
IT,1750096991.0248723,1.7500969910248723,421518253.0248723,0.4215182530248723
VN,1673501736.6760418,1.6735017366760419,246415868.67604184,0.24641586867604184
SE,1663440668.2425978,1.6634406682425977,395731180.2425978,0.3957311802425978
ES,1638420495.4916303,1.6384204954916304,393946387.4916303,0.3939463874916303
IE,1604375509.1082523,1.6043755091082523,104689712.10825229,0.10468971210825229
PL,1547921980.1168623,1.5479219801168622,188668775.1168623,0.1886687751168623
SC,1529375992.8650396,1.5293759928650397,343435470.8650396,0.34343547086503956
IQ,1101530700.6096647,1.1015307006096646,298511992.6096647,0.29851199260966466
TR,1088811777.050084,1.088811777050084,186966863.0500841,0.18696686305008411
PK,1087298377.2184176,1.0872983772184177,300706732.21841764,0.30070673221841765
KR,1075264686.9797127,1.0752646869797127,135683837.97971272,0.13568383797971273
TW,981693047.1258829,0.9816930471258829,138462439.12588286,0.13846243912588285
CZ,978670969.1360419,0.9786709691360419,260490618.13604188,0.2604906181360419
KZ,943208499.8790729,0.943208499879073,59231580.879072905,0.059231580879072904
BD,858190811.1430249,0.8581908111430249,93493396.14302492,0.09349339614302492
FI,847581770.7978127,0.8475817707978127,125661273.7978127,0.1256612737978127
RO,690871873.5101833,0.6908718735101833,156686846.51018333,0.15668684651018333
TH,684166692.8070006,0.6841666928070006,149298753.80700064,0.14929875380700064
CH,643026877.5199659,0.6430268775199659,110958615.51996589,0.11095861551996589
BG,641069663.9812754,0.6410696639812754,118926211.98127544,0.11892621198127544
PH,621944877.5029163,0.6219448775029164,45810498.502916336,0.04581049850291634
MX,593488668.2133193,0.5934886682133192,86902751.2133193,0.08690275121331931
AR,473988977.7091394,0.4739889777091394,25765025.709139407,0.025765025709139407
VE,461059626.0250566,0.4610596260250566,99313061.0250566,0.0993130610250566
KG,428958696.02543503,0.428958696025435,44159707.02543503,0.04415970702543503
IL,388677645.69004416,0.38867764569004415,78188103.69004416,0.07818810369004417
BE,363872046.6253182,0.36387204662531825,60723996.62531823,0.06072399662531823
RS,361082655.8895335,0.36108265588953353,84678700.88953352,0.08467870088953353
KH,358694063.3924615,0.35869406339246146,64268728.39246148,0.06426872839246148
CO,356851842.2551366,0.3568518422551366,71846542.25513661,0.0718465422551366
MY,355275328.7261968,0.3552753287261968,11116578.726196826,0.011116578726196825
BH,340890483.8817195,0.34089048388171955,62941009.88171953,0.06294100988171952
AE,340109068.32557386,0.34010906832557386,59293853.32557386,0.05929385332557386
HN,331276190.76653695,0.33127619076653697,48987272.76653695,0.04898727276653695
EE,331123433.4314195,0.3311234334314195,86971829.43141949,0.0869718294314195
LT,306915318.27791315,0.30691531827791313,49125096.27791315,0.04912509627791315
HU,304466699.92036015,0.30446669992036013,30124497.920360148,0.03012449792036015
EC,255276175.7718703,0.2552761757718703,58040624.771870285,0.05804062477187028
