Year,Rank,Country,Complaints,Complaints_M
2019,1,CN,449305,0.449305
2019,2,US,428355,0.428355
2019,3,GB,182883,0.182883
2019,4,FR,160810,0.16081
2019,5,RU,159459,0.159459
2020,1,US,796395,0.796395
2020,2,CN,705690,0.70569
2020,3,GB,427367,0.427367
2020,4,RU,293917,0.293917
2020,5,HK,237997,0.237997
2021,1,CN,940125,0.940125
2021,2,US,829571,0.829571
2021,3,GB,357679,0.357679
2021,4,RU,264533,0.264533
2021,5,HK,225295,0.225295
2022,1,US,769205,0.769205
2022,2,CN,764388,0.764388
2022,3,GB,338939,0.338939
2022,4,RU,296978,0.296978
2022,5,HK,254729,0.254729
2023,1,US,876894,0.876894
2023,2,CN,678224,0.678224
2023,3,GB,378554,0.378554
2023,4,FR,297363,0.297363
2023,5,RU,289271,0.289271
2024,1,US,946966,0.946966
2024,2,CN,868309,0.868309
2024,3,GB,481671,0.481671
2024,4,RU,324091,0.324091
2024,5,BR,248765,0.248765
